Pokedex Number,Pokemon Name,Classification,Legendary Type,Height,Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Male Ratio,Female Ratio,Games of Origin,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,Catch Rate,Experience Growth Name,Experience Growth Total,Experience Yield,Base Happiness,Health Base Stat,Attack Base Stat,Defense Base Stat,Special Attack Base Stat,Special Defense Base Stat,Speed Base Stat,Primary Egg Group,Secondary Egg Group,Cycle Count,Pre-Evolution Pokedex Number,Evolution Method,Evolution Details,Original Pokemon,Form Name
723,Dartrix,Blade Quill Pokemon,,0.7,16,Grass,Flying,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Long Reach,The Pokemon uses its moves without making contact with the target.,87.5,12.5,Sun / Moon,2,0,0,0,0,0,45,Medium Slow,1059860,147,70,78,75,75,70,70,52,Flying,,15,722,Level Up,Level 17,,
724,Decidueye,Arrow Quill Pokemon,,1.6,36.6,Grass,Ghost,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Long Reach,The Pokemon uses its moves without making contact with the target.,87.5,12.5,Sun / Moon,0,3,0,0,0,0,45,Medium Slow,1059860,239,70,78,107,75,100,100,70,Flying,,15,723,Level Up,Level 34,,
152,Chikorita,Leaf Pokemon,,0.9,6.4,Grass,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Leaf Guard,Prevents status conditions in harsh sunlight.,87.5,12.5,Gold / Silver / Crystal,0,0,0,0,1,0,45,Medium Slow,1059860,64,70,45,49,65,49,65,45,Monster,Grass,20,,,,,
153,Bayleef,Leaf Pokemon,,1.2,15.8,Grass,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Leaf Guard,Prevents status conditions in harsh sunlight.,87.5,12.5,Gold / Silver / Crystal,0,0,1,0,1,0,45,Medium Slow,1059860,142,70,60,62,80,63,80,60,Monster,Grass,20,152,Level Up,Level 16,,
154,Meganium,Herb Pokemon,,1.8,100.5,Grass,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Leaf Guard,Prevents status conditions in harsh sunlight.,87.5,12.5,Gold / Silver / Crystal,0,0,1,0,2,0,45,Medium Slow,1059860,236,70,80,82,100,83,100,80,Monster,Grass,20,153,Level Up,Level 32,,
387,Turtwig,Tiny Leaf Pokemon,,0.4,10.2,Grass,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Shell Armor,A hard shell protects the Pokemon from critical hits.,87.5,12.5,Diamond / Pearl,0,1,0,0,0,0,45,Medium Slow,1059860,64,70,55,68,64,45,55,31,Monster,Grass,20,,,,,
388,Grotle,Grove Pokemon,,1.1,97,Grass,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Shell Armor,A hard shell protects the Pokemon from critical hits.,87.5,12.5,Diamond / Pearl,0,1,1,0,0,0,45,Medium Slow,1059860,142,70,75,89,85,55,65,36,Monster,Grass,20,387,Level Up,Level 18,,
389,Torterra,Continent Pokemon,,2.2,310,Grass,Ground,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Shell Armor,A hard shell protects the Pokemon from critical hits.,87.5,12.5,Diamond / Pearl,0,2,1,0,0,0,45,Medium Slow,1059860,236,70,95,109,105,75,85,56,Monster,Grass,20,388,Level Up,Level 32,,
495,Snivy,Grass Snake Pokemon,,0.6,8.1,Grass,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Contrary,Makes stat changes have an opposite effect.,87.5,12.5,Black / White,0,0,0,0,0,1,45,Medium Slow,1059860,62,70,45,45,55,45,55,63,Field,Grass,20,,,,,
496,Servine,Grass Snake Pokemon,,0.8,16,Grass,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Contrary,Makes stat changes have an opposite effect.,87.5,12.5,Black / White,0,0,0,0,0,2,45,Medium Slow,1059860,145,70,60,60,75,60,75,83,Field,Grass,20,495,Level Up,Level 17,,
497,Serperior,Regal Pokemon,,3.3,63,Grass,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Contrary,Makes stat changes have an opposite effect.,87.5,12.5,Black / White,0,0,0,0,0,3,45,Medium Slow,1059860,238,70,75,75,95,75,95,113,Field,Grass,20,496,Level Up,Level 36,,
420,Cherubi,Cherry Pokemon,,0.4,3.3,Grass,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,,,,,50,50,Diamond / Pearl,0,0,0,1,0,0,190,Medium Fast,1000000,55,70,45,35,45,62,53,35,Fairy,Grass,20,,,,,
43,Oddish,Weed Pokemon,,0.4,5.4,Grass,Poison,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,,,Run Away,Enables a sure getaway from wild Pokemon.,50,50,Red / Blue / Yellow,0,0,0,1,0,0,255,Medium Slow,1059860,64,70,45,50,55,75,65,30,Grass,,20,,,,,
45,Vileplume,Flower Pokemon,,1.2,18.6,Grass,Poison,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,,,Effect Spore,"Contact with the Pokemon may inflict poison, sleep, or paralysis on its attacker.",50,50,Red / Blue / Yellow,0,0,0,3,0,0,45,Medium Slow,1059860,221,70,75,80,85,110,90,50,Grass,,20,44,Evolutionary Stone,Leaf Stone,,
69,Bellsprout,Flower Pokemon,,0.7,4,Grass,Poison,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,,,Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",50,50,Red / Blue / Yellow,0,1,0,0,0,0,255,Medium Slow,1059860,60,70,50,75,35,70,30,40,Grass,,20,,,,,
70,Weepinbell,Flycatcher Pokemon,,1,6.4,Grass,Poison,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,,,Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",50,50,Red / Blue / Yellow,0,2,0,0,0,0,120,Medium Slow,1059860,137,70,65,90,50,85,45,55,Grass,,20,69,Level Up,Level 21,,
71,Victreebel,Flycatcher Pokemon,,1.7,15.5,Grass,Poison,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,,,Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",50,50,Red / Blue / Yellow,0,3,0,0,0,0,45,Medium Slow,1059860,221,70,80,105,65,100,70,70,Grass,,20,70,Evolutionary Stone,Leaf Stone,,
102,Exeggcute,Egg Pokemon,,0.4,2.5,Grass,Psychic,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,,,Harvest,May create another Berry after one is used.,50,50,Red / Blue / Yellow,0,0,1,0,0,0,90,Slow,1250000,65,70,60,40,80,60,45,40,Grass,,20,,,,,
103,Exeggutor,Coconut Pokemon,,2,120,Grass,Psychic,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,,,Harvest,May create another Berry after one is used.,50,50,Red / Blue / Yellow,0,0,0,2,0,0,45,Slow,1250000,186,70,95,95,85,125,75,55,Grass,,20,102,Evolutionary Stone,Leaf Stone,,
182,Bellossom,Flower Pokemon,,0.4,5.8,Grass,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,,,Healer,Sometimes heals an ally's status condition.,50,50,Gold / Silver / Crystal,0,0,0,0,3,0,45,Medium Slow,1059860,221,70,75,80,95,90,100,50,Grass,,20,44,Evolutionary Stone,Sun Stone,,
44,Gloom,Weed Pokemon,,0.8,8.6,Grass,Poison,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,,,Stench,"By releasing stench when attacking, this Pokemon may cause the target to flinch.",50,50,Red / Blue / Yellow,0,0,0,2,0,0,120,Medium Slow,1059860,138,70,60,65,70,85,75,40,Grass,,20,43,Level Up,Level 21,,
191,Sunkern,Seed Pokemon,,0.3,1.8,Grass,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",Early Bird,The Pokemon awakens twice as fast as other Pokemon from sleep.,50,50,Gold / Silver / Crystal,0,0,0,1,0,0,235,Medium Slow,1059860,36,70,30,30,30,30,30,30,Grass,,20,,,,,
192,Sunflora,Sun Pokemon,,0.8,8.5,Grass,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",Early Bird,The Pokemon awakens twice as fast as other Pokemon from sleep.,50,50,Gold / Silver / Crystal,0,0,0,2,0,0,120,Medium Slow,1059860,149,70,75,75,55,105,85,30,Grass,,20,191,Evolutionary Stone,Sun Stone,,
357,Tropius,Fruit Pokemon,,2,100,Grass,Flying,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",Harvest,May create another Berry after one is used.,50,50,Ruby / Sapphire,2,0,0,0,0,0,200,Slow,1250000,161,70,99,68,83,72,87,51,Monster,Grass,25,,,,,
114,Tangela,Vine Pokemon,,1,35,Grass,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Leaf Guard,Prevents status conditions in harsh sunlight.,Regenerator,Restores a little HP when withdrawn from battle.,50,50,Red / Blue / Yellow,0,0,1,0,0,0,45,Medium Fast,1000000,87,70,65,55,115,100,40,60,Grass,,20,,,,,
465,Tangrowth,Vine Pokemon,,2,128.6,Grass,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Leaf Guard,Prevents status conditions in harsh sunlight.,Regenerator,Restores a little HP when withdrawn from battle.,50,50,Diamond / Pearl,0,0,2,0,0,0,30,Medium Fast,1000000,187,70,100,100,125,110,50,50,Grass,,20,114,Level Up,Knowing Ancient Power,,
187,Hoppip,Cottonweed Pokemon,,0.4,0.5,Grass,Flying,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Leaf Guard,Prevents status conditions in harsh sunlight.,Infiltrator,"Passes through the opposing Pokemon's barrier, substitute, and the like and strikes.",50,50,Gold / Silver / Crystal,0,0,0,0,1,0,255,Medium Slow,1059860,50,70,35,35,40,35,55,50,Fairy,Grass,20,,,,,
188,Skiploom,Cottonweed Pokemon,,0.6,1,Grass,Flying,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Leaf Guard,Prevents status conditions in harsh sunlight.,Infiltrator,"Passes through the opposing Pokemon's barrier, substitute, and the like and strikes.",50,50,Gold / Silver / Crystal,0,0,0,0,0,2,120,Medium Slow,1059860,119,70,55,45,50,45,65,80,Fairy,Grass,20,187,Level Up,Level 18,,
189,Jumpluff,Cottonweed Pokemon,,0.8,3,Grass,Flying,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Leaf Guard,Prevents status conditions in harsh sunlight.,Infiltrator,"Passes through the opposing Pokemon's barrier, substitute, and the like and strikes.",50,50,Gold / Silver / Crystal,0,0,0,0,0,3,45,Medium Slow,1059860,207,70,75,55,70,55,95,110,Fairy,Grass,20,188,Level Up,Level 27,,
585,Deerling,Season Pokemon,,0.6,19.5,Normal,Grass,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Sap Sipper,"Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.",Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,50,50,Black / White,0,0,0,0,0,1,190,Medium Fast,1000000,67,70,60,60,50,40,50,75,Field,,20,,,,,
586,Sawsbuck,Season Pokemon,,1.9,92.5,Normal,Grass,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Sap Sipper,"Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.",Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,50,50,Black / White,0,2,0,0,0,0,75,Medium Fast,1000000,166,70,80,110,70,60,70,95,Field,,20,585,Level Up,Level 34,,
273,Seedot,Acorn Pokemon,,0.5,4,Grass,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Early Bird,The Pokemon awakens twice as fast as other Pokemon from sleep.,Pickpocket,Steals an item from an attacker that made direct contact.,50,50,Ruby / Sapphire,0,0,1,0,0,0,255,Medium Slow,1059860,44,70,40,40,50,30,30,30,Field,Grass,15,,,,,
274,Nuzleaf,WIly Pokemon,,1,28,Grass,Dark,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Early Bird,The Pokemon awakens twice as fast as other Pokemon from sleep.,Pickpocket,Steals an item from an attacker that made direct contact.,50,50,Ruby / Sapphire,0,2,0,0,0,0,120,Medium Slow,1059860,119,70,70,70,40,60,40,60,Field,Grass,15,273,Level Up,Level 14,,
275,Shiftry,Wicked Pokemon,,1.3,59.6,Grass,Dark,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Early Bird,The Pokemon awakens twice as fast as other Pokemon from sleep.,Pickpocket,Steals an item from an attacker that made direct contact.,50,50,Ruby / Sapphire,0,3,0,0,0,0,45,Medium Slow,1059860,216,70,90,100,60,90,60,80,Field,Grass,15,274,Evolutionary Stone,Leaf Stone,,
548,Petilil,Bulb Pokemon,,0.5,6.6,Grass,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",Leaf Guard,Prevents status conditions in harsh sunlight.,0,100,Black / White,0,0,0,1,0,0,190,Medium Fast,1000000,56,70,45,35,50,70,50,30,Grass,,20,,,,,
549,Lilligant,Flowering Pokemon,,1.1,16.3,Grass,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",Leaf Guard,Prevents status conditions in harsh sunlight.,0,100,Black / White,0,0,0,2,0,0,75,Medium Fast,1000000,168,70,70,60,75,110,75,90,Grass,,20,548,Evolutionary Stone,Sun Stone,,
549,Lilligant,Flowering Pokemon,,1.1,16.3,Grass,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",Leaf Guard,Prevents status conditions in harsh sunlight.,0,100,Black / White,0,0,0,2,0,0,75,Medium Fast,1000000,168,70,70,60,75,110,75,90,Grass,,20,548,Evolutionary Stone,Sun Stone,,
363,Spheal,Clap Pokemon,,0.8,39.5,Ice,Water,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Ice Body,The Pokemon gradually regains HP in a hailstorm.,Oblivious,"The Pokemon is oblivious, and that keeps it from being infatuated or falling for taunts.",50,50,Ruby / Sapphire,1,0,0,0,0,0,255,Medium Slow,1059860,58,70,70,40,50,55,50,25,Water 1,Field,20,,,,,
364,Sealeo,Ball Roll Pokemon,,1.1,87.6,Ice,Water,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Ice Body,The Pokemon gradually regains HP in a hailstorm.,Oblivious,"The Pokemon is oblivious, and that keeps it from being infatuated or falling for taunts.",50,50,Ruby / Sapphire,2,0,0,0,0,0,120,Medium Slow,1059860,144,70,90,60,70,75,70,45,Water 1,Field,20,363,Level Up,Level 32,,
365,Walrein,Ice Break Pokemon,,1.4,150.6,Ice,Water,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Ice Body,The Pokemon gradually regains HP in a hailstorm.,Oblivious,"The Pokemon is oblivious, and that keeps it from being infatuated or falling for taunts.",50,50,Ruby / Sapphire,3,0,0,0,0,0,45,Medium Slow,1059860,239,70,110,80,90,95,90,65,Water 1,Field,20,364,Level Up,Level 44,,
86,Seel,Sea Lion Pokemon,,1.1,90,Water,,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Hydration,Heals status conditions if it's raining.,Ice Body,The Pokemon gradually regains HP in a hailstorm.,50,50,Red / Blue / Yellow,0,0,0,0,1,0,190,Medium Fast,1000000,65,70,65,45,55,45,70,45,Water 1,Field,20,,,,,
87,Dewgong,Sea Lion Pokemon,,1.7,120,Water,Ice,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Hydration,Heals status conditions if it's raining.,Ice Body,The Pokemon gradually regains HP in a hailstorm.,50,50,Red / Blue / Yellow,0,0,0,0,2,0,75,Medium Fast,1000000,166,70,90,70,80,70,95,70,Water 1,Field,20,86,Level Up,Level 34,,
296,Makuhita,Guts Pokemon,,1,86.4,Fighting,,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,75,25,Ruby / Sapphire,1,0,0,0,0,0,180,Fluctuating,1640000,47,70,72,60,30,20,30,25,Human-Like,,20,,,,,
297,Hariyama,Arm Thrust Pokemon,,2.3,253.8,Fighting,,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,Sheer Force,Removes additional effects to increase the power of moves when attacking.,75,25,Ruby / Sapphire,2,0,0,0,0,0,200,Fluctuating,1640000,166,70,144,120,60,40,60,50,Human-Like,,20,296,Level Up,Level 24,,
183,Marill,Aqua Mouse Pokemon,,0.4,8.5,Water,Fairy,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Huge Power,Doubles the Pokemon's Attack stat.,Sap Sipper,"Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.",50,50,Gold / Silver / Crystal,2,0,0,0,0,0,190,Fast,800000,88,70,70,20,50,20,50,40,Water 1,Fairy,10,298,Level Up With High Friendship,,,
184,Azumarill,Aqua Rabbit Pokemon,,0.8,28.5,Water,Fairy,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Huge Power,Doubles the Pokemon's Attack stat.,Sap Sipper,"Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.",50,50,Gold / Silver / Crystal,3,0,0,0,0,0,75,Fast,800000,189,70,100,50,80,60,80,50,Water 1,Fairy,10,183,Level Up,Level 18,,
298,Azurill,Polka Dot Pokemon,,0.2,2,Normal,Fairy,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Huge Power,Doubles the Pokemon's Attack stat.,Sap Sipper,"Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.",25,75,Ruby / Sapphire,1,0,0,0,0,0,150,Fast,800000,38,70,50,20,40,20,40,20,Undiscovered,,10,,,,,
432,Purugly,Tiger Cat Pokemon,,1,43.8,Normal,,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",Defiant,Boosts the Pokemon's Attack stat sharply when its stats are lowered.,25,75,Diamond / Pearl,0,0,0,0,0,2,75,Fast,800000,158,70,71,82,64,64,59,112,Field,,20,431,Level Up,Level 38,,
325,Spoink,Bounce Pokemon,,0.7,30.6,Psychic,,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",50,50,Ruby / Sapphire,0,0,0,0,1,0,255,Fast,800000,66,70,60,25,35,70,80,60,Field,,20,,,,,
326,Grumpig,Manipulate Pokemon,,0.9,71.5,Psychic,,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",50,50,Ruby / Sapphire,0,0,0,0,2,0,60,Fast,800000,165,70,80,45,65,90,110,80,Field,,20,325,Level Up,Level 32,,
241,Miltank,Milk Cow Pokemon,,1.2,75.5,Normal,,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Scrappy,The Pokemon can hit Ghost-type Pokemon with Normal- and Fighting-type moves.,Sap Sipper,"Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.",0,100,Gold / Silver / Crystal,0,0,2,0,0,0,45,Slow,1250000,172,70,95,80,105,40,70,100,Field,,20,,,,,
498,Tepig,Fire Pig Pokemon,,0.5,9.9,Fire,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",87.5,12.5,Black / White,1,0,0,0,0,0,45,Medium Slow,1059860,62,70,65,63,45,45,45,45,Field,,20,,,,,
499,Pignite,Fire Pig Pokemon,,1,55.5,Fire,Fighting,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Thick Fat,"The Pokemon is protected by a layed of thick fat, which halves the damage taken from Fire- and Ice-type moves.",87.5,12.5,Black / White,0,2,0,0,0,0,45,Medium Slow,1059860,146,70,90,93,55,70,55,55,Field,,20,498,Level Up,Level 17,,
4,Charmander,Lizard Pokemon,,0.6,8.5,Fire,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",87.5,12.5,Red / Blue / Yellow,0,0,0,0,0,1,45,Medium Slow,1059860,62,70,39,52,43,60,50,65,Monster,Dragon,20,,,,,
5,Charmeleon,Flame Pokemon,,1.1,19,Fire,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",87.5,12.5,Red / Blue / Yellow,0,0,0,1,0,1,45,Medium Slow,1059860,142,70,58,64,58,80,65,80,Monster,Dragon,20,4,Level Up,Level 16,,
6,Charizard,Flame Pokemon,,1.7,90.5,Fire,Flying,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",87.5,12.5,Red / Blue / Yellow,0,0,0,3,0,0,45,Medium Slow,1059860,240,70,78,84,78,109,85,100,Monster,Dragon,20,5,Level Up,Level 36,,
255,Torchic,Chick Pokemon,,0.4,2.5,Fire,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Speed Boost,Its Speed stat is boosted every turn,87.5,12.5,Ruby / Sapphire,0,0,0,1,0,0,45,Medium Slow,1059860,62,70,45,60,40,70,50,45,Field,,20,,,,,
256,Combusken,Young Fowl Pokemon,,0.9,19.5,Fire,Fighting,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Speed Boost,Its Speed stat is boosted every turn,87.5,12.5,Ruby / Sapphire,0,1,0,1,0,0,45,Medium Slow,1059860,142,70,60,85,60,85,60,55,Field,,20,255,Level Up,Level 16,,
257,Blaziken,Blaze Pokemon,,1.9,52,Fire,Fighting,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Speed Boost,Its Speed stat is boosted every turn,87.5,12.5,Ruby / Sapphire,0,3,0,0,0,0,45,Medium Slow,1059860,239,70,80,120,70,110,70,80,Field,,20,256,Level Up,Level 36,,
653,Fennekin,Fox Pokemon,,0.4,9.4,Fire,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Magician,The Pokemon steals the held item of a Pokemon it hits with a move.,87.5,12.5,X / Y,0,0,0,1,0,0,45,Medium Slow,1059860,61,70,40,45,40,62,60,60,Field,,20,,,,,
